,PO / SO #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Days to Deliver
8017,SO-35351,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,2009-12-08,N/A - From RDC,2010-07-30,2010-07-22,2010-07-22,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,60,5900,19352.0,3.28,0.05,"Cipla, Goa, India",No,4306.83476898982,11462.107118413907,41.72,226 days 00:00:00.000000000
8018,SO-35351,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,2009-12-08,N/A - From RDC,2010-07-30,2010-07-22,2010-07-22,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,5880,42394.8,7.21,0.12,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,91.4,226 days 00:00:00.000000000
8019,SO-35351,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,2009-12-08,N/A - From RDC,2010-07-30,2010-07-22,2010-07-22,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,560,4905.6,8.76,0.15,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,10.58,226 days 00:00:00.000000000
8020,SO-37100,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,2010-06-28,N/A - From RDC,2010-09-21,2010-07-19,2010-07-19,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,29315,167974.95,5.73,0.1,"Cipla, Goa, India",Yes,3931.0,13215.67,362.15,21 days 00:00:00.000000000
8021,SO-36436,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2010-02-10,N/A - From RDC,2010-08-16,2010-08-17,2010-08-17,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,28868,323898.96,11.22,0.19,"Aurobindo Unit III, India",Yes,3570.0,6147.18,698.33,188 days 00:00:00.000000000
8022,SO-36770,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2010-04-19,N/A - From RDC,2010-08-24,2010-08-23,2010-08-23,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,2280,16438.8,7.21,0.12,"Aurobindo Unit III, India",Yes,123.0,2136.1,35.44,126 days 00:00:00.000000000
8023,SO-36911,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2010-05-27,N/A - From RDC,2010-08-31,2010-08-17,2010-08-17,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,30000,352500.0,11.75,0.39,Mylan (formerly Matrix) Nashik,Yes,2700.0,6147.18,759.99,82 days 00:00:00.000000000
8024,SO-36931,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2010-05-27,N/A - From RDC,2010-08-31,2010-08-17,2010-08-17,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,54125,607282.5,11.22,0.19,"Aurobindo Unit III, India",Yes,7050.0,6147.18,1309.3,82 days 00:00:00.000000000
8025,SO-37190,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,2010-07-26,N/A - From RDC,2010-08-17,2010-08-09,2010-08-09,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,5000,36050.0,7.21,0.12,"Aurobindo Unit III, India",Yes,196.0,1229.52,77.72,14 days 00:00:00.000000000
8026,SO-36890,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2010-05-07,N/A - From RDC,2010-08-31,2010-08-23,2010-08-23,ARV,Pediatric,SCMS from RDC,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,2436,5456.64,2.24,0.07,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,11.76,108 days 00:00:00.000000000
8027,SO-37200,Dominican Republic,PMO - US,From RDC,N/A - From RDC,Air,2010-07-16,N/A - From RDC,2010-08-30,2010-08-28,2010-08-28,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,9000,100980.0,11.22,0.19,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,217.71,43 days 00:00:00.000000000
8028,SO-37080,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2010-02-10,N/A - From RDC,2010-08-12,2010-08-17,2010-08-17,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,13104,35773.92,2.73,0.05,"Aurobindo Unit III, India",Yes,1448.0,6147.18,77.13,188 days 00:00:00.000000000
8029,SO-36467,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2010-02-10,N/A - From RDC,2010-08-12,2010-08-17,2010-08-17,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,34801,95006.73,2.73,0.05,"Aurobindo Unit III, India",Yes,3951.0,6147.18,204.83,188 days 00:00:00.000000000
8030,SO-37300,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,2010-08-16,N/A - From RDC,2010-09-30,2010-09-10,2010-09-10,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,15331,68222.95,4.45,0.15,"Strides, Bangalore, India.",Yes,4729.0,18390.42,147.09,25 days 00:00:00.000000000
8031,SO-35562,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2009-12-08,N/A - From RDC,2010-09-30,2010-09-06,2010-09-06,ARV,Pediatric,SCMS from RDC,"Didanosine 200mg, chewable/dispersible tablets, 60 Tabs",Didanosine,Generic,200mg,Chewable/dispersible tablet,60,632,9796.0,15.5,0.26,"Aurobindo Unit III, India",Yes,134.0,8815.65,21.12,272 days 00:00:00.000000000
8032,SO-36881,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,2010-05-07,N/A - From RDC,2010-10-19,2010-09-25,2010-09-25,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,7925,21080.5,2.66,0.04,"Aurobindo Unit III, India",Yes,18041.0,8953.2,45.45,141 days 00:00:00.000000000
8033,SO-36881,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,2010-05-07,N/A - From RDC,2010-10-19,2010-09-25,2010-09-25,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,12100,32186.0,2.66,0.04,Hetero Unit III Hyderabad IN,No,4306.83476898982,11462.107118413907,69.39,141 days 00:00:00.000000000
8034,SO-36741,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2010-04-19,N/A - From RDC,2010-09-30,2010-10-07,2010-10-07,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,27900,74214.0,2.66,0.04,Hetero Unit III Hyderabad IN,No,4306.83476898982,11462.107118413907,160.01,171 days 00:00:00.000000000
8035,SO-37390,Guyana,PMO - US,From RDC,N/A - From RDC,Air,2010-08-27,N/A - From RDC,2010-11-23,2010-09-19,2010-09-19,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,1002,7224.42,7.21,0.12,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,15.58,23 days 00:00:00.000000000
8036,SO-37400,Guyana,PMO - US,From RDC,N/A - From RDC,Air,2010-08-30,N/A - From RDC,2010-11-23,2010-09-19,2010-09-19,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,230,2233.3,9.71,0.11,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,4.81,20 days 00:00:00.000000000
8037,SO-35380,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,2009-12-08,N/A - From RDC,2010-09-30,2010-10-04,2010-10-04,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,112100,642333.0,5.73,0.1,"Cipla, Goa, India",No,4306.83476898982,11462.107118413907,1384.87,300 days 00:00:00.000000000
8038,SO-37490,Guyana,PMO - US,From RDC,N/A - From RDC,Air,2010-09-22,N/A - From RDC,2010-10-20,2010-09-28,2010-09-28,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs",Lopinavir/Ritonavir,Generic,200/50mg,Tablet,120,140,5425.0,38.75,0.32,"Aurobindo Unit III, India",Yes,34.0,2027.42,11.7,6 days 00:00:00.000000000
8039,SO-37460,Uganda,PMO - US,From RDC,N/A - From RDC,Air,2010-09-16,N/A - From RDC,2010-10-20,2010-10-25,2010-10-25,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,27304,118499.36,4.34,0.14,Mylan (formerly Matrix) Nashik,Yes,13087.0,56372.66,255.48,39 days 00:00:00.000000000
8040,SO-37460,Uganda,PMO - US,From RDC,N/A - From RDC,Air,2010-09-16,N/A - From RDC,2010-10-20,2010-10-25,2010-10-25,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,31084,348762.48,11.22,0.19,Mylan (formerly Matrix) Nashik,No,4306.83476898982,11462.107118413907,751.93,39 days 00:00:00.000000000
8041,SO-37500,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,2010-05-27,N/A - From RDC,2010-10-22,2010-11-10,2010-11-10,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,2000,11460.0,5.73,0.1,"Cipla, Goa, India",No,4306.83476898982,11462.107118413907,24.71,167 days 00:00:00.000000000
8042,SO-37500,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,2010-05-27,N/A - From RDC,2010-10-22,2010-11-10,2010-11-10,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,72023,615796.65,8.55,0.14,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,1327.66,167 days 00:00:00.000000000
8043,SO-37940,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,2010-09-24,N/A - From RDC,2010-11-19,2010-11-17,2010-11-17,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,1660,11968.6,7.21,0.12,"Aurobindo Unit III, India",Yes,90.0,866.71,25.8,54 days 00:00:00.000000000
8044,SO-37320,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2010-08-20,N/A - From RDC,2010-12-31,2010-11-25,2010-11-25,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,36562,198531.66,5.43,0.09,"Cipla, Goa, India",No,4306.83476898982,11462.107118413907,428.03,97 days 00:00:00.000000000
8045,SO-36730,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2010-04-19,N/A - From RDC,2010-11-26,2010-12-15,2010-12-15,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,36139,308988.45,8.55,0.14,"Aurobindo Unit III, India",Yes,7100.0,68243.0,666.18,240 days 00:00:00.000000000
8046,SO-36870,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2010-05-07,N/A - From RDC,2010-11-30,2010-12-22,2010-12-22,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,19767,52580.22,2.66,0.04,Hetero Unit III Hyderabad IN,No,4306.83476898982,11462.107118413907,113.36,229 days 00:00:00.000000000
8047,SO-37430,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2010-08-25,N/A - From RDC,2011-03-30,2011-01-09,2011-01-09,ARV,Adult,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,50000,441000.0,8.82,0.29,Mylan (formerly Matrix) Nashik,Yes,4502.0,27457.0,950.8,137 days 00:00:00.000000000
8048,SO-38180,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,2010-09-29,N/A - From RDC,2011-02-07,2011-01-14,2011-01-14,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,69202,776446.44,11.22,0.19,"Aurobindo Unit III, India",Yes,9299.0,54009.25,1674.02,107 days 00:00:00.000000000
8049,SO-37600,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,2010-09-23,N/A - From RDC,2011-03-10,2011-03-02,2011-03-02,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,60,23448,76909.44,3.28,0.05,"Cipla, Goa, India",Yes,1804.0,4815.8,165.82,160 days 00:00:00.000000000
8050,SO-38330,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2010-08-25,N/A - From RDC,2011-02-21,2011-02-16,2011-02-16,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,6700,15611.0,2.33,0.04,"Aurobindo Unit III, India",Yes,426.0,43548.0,33.66,175 days 00:00:00.000000000
8051,SO-38380,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2010-08-03,N/A - From RDC,2011-01-31,2011-02-22,2011-02-22,ARV,Pediatric,SCMS from RDC,"Lamivudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,3660,6771.0,1.85,0.01,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,14.6,203 days 00:00:00.000000000
8052,SO-38460,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,2011-01-06,N/A - From RDC,2011-02-09,2011-02-07,2011-02-07,ARV,Adult,SCMS from RDC,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,6020,39551.4,6.57,0.22,"Aurobindo Unit III, India",Yes,542.0,3935.92,65.26,32 days 00:00:00.000000000
8053,SO-37350,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2010-08-20,N/A - From RDC,2011-03-31,2011-03-07,2011-03-07,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,200000,2184000.0,10.92,0.36,Mylan (formerly Matrix) Nashik,Yes,43128.0,34543.36,4708.7,199 days 00:00:00.000000000
8054,SO-38110,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2010-08-20,N/A - From RDC,2011-03-10,2011-02-25,2011-02-25,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,129998,1419578.16,10.92,0.36,Mylan (formerly Matrix) Nashik,Yes,11115.0,16482.05,3060.61,189 days 00:00:00.000000000
8055,SO-38400,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2010-08-03,N/A - From RDC,2011-03-31,2011-03-15,2011-03-15,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,57456,255679.2,4.45,0.15,Mylan (formerly Matrix) Nashik,Yes,4720.0,18611.92,551.24,224 days 00:00:00.000000000
8056,SO-37950,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2010-08-20,N/A - From RDC,2011-03-31,2011-04-05,2011-04-05,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,3355,19224.15,5.73,0.1,"Strides, Bangalore, India.",No,4306.83476898982,11462.107118413907,41.45,228 days 00:00:00.000000000
8057,SO-38840,Guyana,PMO - US,From RDC,N/A - From RDC,Air,2011-02-04,N/A - From RDC,2011-03-31,2011-03-25,2011-03-25,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,1827,13172.67,7.21,0.12,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,21.73,49 days 00:00:00.000000000
8058,SO-37700,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2010-10-04,N/A - From RDC,2011-03-31,2011-03-29,2011-03-29,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,40752,348429.6,8.55,0.14,Hetero Unit III Hyderabad IN,No,4306.83476898982,11462.107118413907,751.21,176 days 00:00:00.000000000
8059,SO-38300,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2010-06-23,N/A - From RDC,2011-03-15,2011-03-29,2011-03-29,ARV,Pediatric,SCMS from RDC,"Didanosine 200mg, chewable/dispersible tablets, 60 Tabs",Didanosine,Generic,200mg,Chewable/dispersible tablet,60,648,10044.0,15.5,0.26,"Aurobindo Unit III, India",Yes,138.0,17941.47,21.65,279 days 00:00:00.000000000
8060,SO-39010,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,2011-03-07,N/A - From RDC,2011-04-07,2011-03-31,2011-03-31,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,3493,14740.46,4.22,0.14,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",Yes,2996.0,9639.1,24.32,24 days 00:00:00.000000000
8061,SO-38540,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2010-12-21,N/A - From RDC,2011-04-20,2011-06-10,2011-06-10,ARV,Adult,SCMS from RDC,"Abacavir/Lamivudine 600/300mg, scored tablets, 30 Tabs",Abacavir/Lamivudine,Generic,600/300mg,Tablet - FDC,30,1309,29452.5,22.5,0.75,Mylan (formerly Matrix) Nashik,No,4306.83476898982,11462.107118413907,48.6,171 days 00:00:00.000000000
8062,SO-38540,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2010-12-21,N/A - From RDC,2011-04-20,2011-06-10,2011-06-10,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,20376,174214.8,8.55,0.14,Hetero Unit III Hyderabad IN,No,4306.83476898982,11462.107118413907,287.45,171 days 00:00:00.000000000
8063,SO-38670,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,2011-01-24,N/A - From RDC,2011-05-31,2011-04-06,2011-04-06,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,4050,9436.5,2.33,0.04,"Aurobindo Unit III, India",Yes,195.0,3495.81,15.57,72 days 00:00:00.000000000
8064,SO-37730,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2010-10-04,N/A - From RDC,2011-03-24,2011-06-07,2011-06-07,ARV,Adult,SCMS from RDC,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,600/200/300mg,Tablet - FDC,30,11280,224697.6,19.92,0.66,Mylan (formerly Matrix) Nashik,Yes,1264.0,3380.35,370.75,246 days 00:00:00.000000000
8065,SO-39160,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2011-02-21,N/A - From RDC,2011-06-15,2011-05-11,2011-05-11,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,2000,11120.0,5.56,0.09,"Cipla, Goa, India",Yes,209.0,12601.07,18.35,79 days 00:00:00.000000000
8066,SO-38610,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2010-12-07,N/A - From RDC,2011-03-31,2011-05-11,2011-05-11,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,60756,640368.24,10.54,0.35,Mylan (formerly Matrix) Nashik,Yes,5481.0,12601.07,1056.61,155 days 00:00:00.000000000
8067,SO-39170,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2010-12-07,N/A - From RDC,2011-06-21,2011-05-11,2011-05-11,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,87744,370279.68,4.22,0.14,Mylan (formerly Matrix) Nashik,Yes,7194.0,12601.07,610.96,155 days 00:00:00.000000000
8068,SO-38080,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2010-10-13,N/A - From RDC,2011-03-24,2011-04-28,2011-04-28,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,2111,4918.63,2.33,0.04,"Aurobindo Unit III, India",Yes,101.0,1697.33,10.6,197 days 00:00:00.000000000
8069,SO-39270,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,2010-10-13,N/A - From RDC,2011-04-04,2011-05-20,2011-05-20,ARV,Pediatric,SCMS from RDC,"Didanosine 125mg, delayed-release capsules, 30 Caps",Didanosine,Generic,125mg,Delayed-release capsules,30,105,892.5,8.5,0.28,"Aurobindo Unit III, India",Yes,10.0,3403.99,1.92,219 days 00:00:00.000000000
8070,SO-39270,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,2010-10-13,N/A - From RDC,2011-04-04,2011-05-20,2011-05-20,ARV,Pediatric,SCMS from RDC,"Didanosine 200mg, delayed-release capsules, 30 Caps",Didanosine,Generic,200mg,Delayed-release capsules,30,45,495.0,11.0,0.37,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,1.07,219 days 00:00:00.000000000
8071,SO-38070,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2010-11-08,N/A - From RDC,2011-04-14,2011-05-20,2011-05-20,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,54869,127844.77,2.33,0.04,"Aurobindo Unit III, India",Yes,2630.0,3402.23,210.94,193 days 00:00:00.000000000
8072,SO-38960,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2010-10-15,N/A - From RDC,2011-04-30,2011-05-20,2011-05-20,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,120000,1026000.0,8.55,0.14,"Aurobindo Unit III, India",Yes,11057.0,12049.4,2212.06,217 days 00:00:00.000000000
8073,SO-38970,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2010-10-15,N/A - From RDC,2011-04-11,2011-05-20,2011-05-20,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,7946,19944.46,2.51,0.04,Hetero Unit III Hyderabad IN,Yes,1168.0,3402.23,43.0,217 days 00:00:00.000000000
8074,SO-39340,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,2011-01-24,N/A - From RDC,2011-05-31,2011-06-23,2011-06-23,ARV,Adult,SCMS from RDC,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,630,882.0,1.4,0.02,"Aurobindo Unit III, India",Yes,485.0,947.52,1.46,150 days 00:00:00.000000000
8075,SO-38600,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2010-08-20,N/A - From RDC,2011-04-14,2011-06-10,2011-06-10,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,10394,72965.88,7.02,0.12,Hetero Unit III Hyderabad IN,Yes,14935.0,15919.88,157.31,294 days 00:00:00.000000000
8076,SO-38420,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,2011-01-06,N/A - From RDC,2011-05-31,2011-05-30,2011-05-30,ARV,Adult,SCMS from RDC,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,10000,65700.0,6.57,0.22,Mylan (formerly Matrix) Nashik,Yes,716.0,2976.29,108.4,144 days 00:00:00.000000000
8077,SO-39510,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,2010-10-13,N/A - From RDC,2011-05-31,2011-06-15,2011-06-15,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,60,4669,14940.8,3.2,0.05,"Cipla, Goa, India",No,4306.83476898982,11462.107118413907,32.21,245 days 00:00:00.000000000
8078,SO-39080,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2010-12-07,N/A - From RDC,2011-06-21,2011-07-06,2011-07-06,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,42371,109317.18,2.58,0.04,"Aurobindo Unit III, India",Yes,5262.0,13398.0,180.37,211 days 00:00:00.000000000
